injury_impact_diff,injury_impact_abs,rest_advantage,fatigue_mismatch,home_rest_days,away_rest_days,home_back_to_back,away_back_to_back,home_3in4,away_3in4,altitude_game,home_composite_elo,off_elo_diff,def_elo_diff,ewma_foul_synergy_home,ewma_foul_synergy_away,total_foul_environment,ewma_efg_diff,ewma_tov_diff,ewma_orb_diff,ewma_pace_diff,ewma_vol_3p_diff,home_ewma_3p_pct,away_ewma_3p_pct,away_ewma_tov_pct,home_orb,away_orb,away_ewma_fta_rate,ewma_chaos_home,ewma_net_chaos,home_won,game_date,home_team,away_team
-12.908234932978107,17.091765067021893,0,0,1,1,0,0,0,0,0,953.9578291087018,-505.59104431685705,20.327154376838507,24.943533994337503,27.600206998195986,52.543740992533486,0.03563905760501762,-0.005386673714553647,0.021493627436833862,-6.287984648786676,3.7444311138109505,0.3892500483397261,0.3230441555306253,0.14847451591485972,0.25398489314141587,0.232491265704582,0.27600206998195986,14.425902179212589,16.60642448172388,0,2021-01-01,CHA,MEM
-6.2223679221824835,17.067570161865305,1,0,2,1,0,0,0,1,0,948.0604956309157,221.69168272584875,299.4453228551936,25.135805182773574,25.560166751641074,50.695971934414644,-0.050464182529097235,0.00772048458359989,0.004341674624542102,-1.2596681576279707,4.761264919095076,0.3350938038340071,0.37939599018515674,0.144201850097137,0.25645468108635877,0.25211300646181667,0.2556016675164107,7.255299242985306,9.857318632510983,1,2021-01-01,DET,BOS
-2.929136897731068,18.199465643042068,0,0,1,1,0,0,0,1,0,1046.0494121261765,-81.87101743860603,197.6419847221432,31.172967575297182,28.84294628438358,60.015913859680765,-0.0228603467000994,0.06693439944042089,0.04129310995297372,-2.150499090642967,1.9074422833733067,0.3380193101749,0.355873430755209,0.17702486985586574,0.2090113397394304,0.16771822978645667,0.2884294628438358,18.0033693557038,16.541199962250772,1,2021-01-01,DAL,MIA
1.1055120438325474,24.114176130630188,0,0,1,1,0,0,0,0,0,1128.1179936714252,-419.4988771880155,-146.9152300788669,26.979892421030886,32.52780859095696,59.50770101198785,0.0075004422635343015,0.0012662180238444398,-0.030920308116954204,-0.07717041885152298,-0.397379496576292,0.3991344920488701,0.3890165796776948,0.1402580529051596,0.2114185666108778,0.242338874727832,0.3252780859095696,16.541550745097375,15.235466396035054,0,2021-01-01,BKN,ATL
-5.235783450064348,8.600911532867292,1,0,1,0,0,1,1,1,0,1162.1638195351375,59.77163163022988,8.860385417454609,24.314851144777823,27.636447286499433,51.95129843127725,0.014970843237286258,0.014392690528985924,0.01899164529218908,-1.7447231285399027,5.067059159396891,0.39466318630348884,0.3714302911154759,0.15742675155758992,0.24540117749996732,0.22640953220777824,0.2763644728649943,19.026662898486208,14.037891503459484,1,2021-01-01,MIL,CHI
15.0,15.0,2,1,2,0,0,1,0,1,0,1157.8891761513262,160.08507505554758,-293.2274480948913,22.88504756965741,30.727460050269418,53.61250761992683,-0.020871250300785238,0.011731708573712446,0.043724884202107406,-0.6059532540631665,5.160191630487898,0.32567545507994966,0.3626368590397859,0.14855143991846467,0.2651963051222678,0.22147142092016037,0.3072746005026942,12.738075486715534,10.580466515476747,0,2021-01-01,MIN,WAS
-4.256585168049712,25.74341483195029,0,0,1,1,0,0,0,0,0,1057.6873409762634,204.05449657026475,206.68170772294252,25.31428897139732,26.671957137306183,51.986246108703504,-0.0393664382845601,0.024602971150370245,-0.02209473632907366,1.6465882226841586,-3.1195310287775975,0.4003011141187404,0.392779020097628,0.15684126378094457,0.18783645818488487,0.20993119451395853,0.26671957137306185,10.291857742384202,12.645568178308285,0,2021-01-01,SAS,LAL
3.8141385198105295,7.518570971264357,2,1,2,0,0,1,0,1,1,1048.6090352113915,282.2740018284296,-26.340387271133977,28.399348259110642,20.235219303563788,48.634567562674434,0.008598686920929133,-0.025325195464179856,0.03509975473477572,1.2369254200124118,-5.75754611426736,0.37823363526338905,0.4070353078726396,0.12576608567749628,0.23097704872181024,0.19587729398703452,0.20235219303563787,12.746727660565734,12.765313619295853,0,2021-01-01,DEN,PHX
0.0,0.0,-1,0,0,1,1,0,0,1,1,965.2962006179262,-169.51747770177894,319.58624162571755,24.008858672402177,26.777065039963993,50.78592371236617,-0.0357128320205492,-0.008176052511752685,0.04294103242514796,0.1555898519991672,3.9654967032908672,0.35647818502980094,0.39645649948311174,0.14026197292495152,0.24193653187194622,0.19899549944679826,0.26777065039963993,10.535275219346119,14.290752877956894,1,2021-01-01,UTA,LAC
1.8313467966480697,1.8313467966480697,1,0,2,1,0,0,0,0,0,1012.4495795790986,108.09420538267341,149.15392821081036,31.233646188661368,26.762752850848837,57.99639903951021,-0.024893150369994177,-0.02165800106761455,-0.0009604271613167792,3.105052333647066,-2.4352573155703823,0.33265444359504004,0.3725675747017978,0.11438363154768184,0.20031722776217664,0.20127765492349342,0.26762752850848837,17.67584503302682,15.021615944222674,0,2021-01-01,GSW,POR
0.0,0.0,0,0,1,1,0,0,0,0,0,1057.6297155785928,50.87417045557618,26.436685468521773,29.072596446614746,26.358044824004352,55.4306412706191,0.003301884072519634,-0.012395867288157836,-0.0893687537061999,2.0083189912963775,11.190108001002507,0.33497543513386396,0.37099434397496395,0.14137363230051506,0.1620758983094464,0.2514446520156463,0.2635804482400435,14.148615107977326,12.247440169013295,1,2021-01-02,HOU,SAC
