game_id,game_date,season,game_date_x,home_team,away_team,composite_elo_diff,off_elo_diff,def_elo_diff,home_composite_elo,away_composite_elo,off_rating_diff,def_rating_diff,home_off_rating,away_off_rating,home_def_rating,away_def_rating,pace_diff,avg_pace,home_pace,away_pace,home_efg,away_efg,efg_diff,home_tov,away_tov,home_orb,away_orb,home_ftr,away_ftr,sharp_total,sharp_pace,sharp_spread,sharp_eff_diff,foul_synergy_home,foul_synergy_away,total_foul_environment,chaos_home,chaos_away,net_chaos,vol_3p_diff,home_ewma_pace,away_ewma_pace,home_ewma_tov_pct,away_ewma_tov_pct,home_ewma_fta_rate,away_ewma_fta_rate,home_ewma_stl_pct,away_ewma_stl_pct,home_ewma_foul_rate,away_ewma_foul_rate,home_ewma_efg,away_ewma_efg,home_ewma_3pa_per_100,away_ewma_3pa_per_100,home_ewma_3p_pct,away_ewma_3p_pct,ewma_pace_diff,ewma_efg_diff,ewma_tov_diff,ewma_foul_synergy_home,ewma_foul_synergy_away,ewma_chaos_home,ewma_chaos_away,ewma_net_chaos,ewma_vol_3p_diff,net_rating_l5_diff,net_rating_l10_diff,net_rating_ewma_diff,home_net_rating,away_net_rating,net_rating_diff,opening_spread,closing_spread,spread_movement,spread_abs_movement,opening_total,closing_total,total_movement,total_abs_movement,is_steam_spread,is_steam_total,injury_impact_diff,total_points,home_won,home_score,away_score,raw_spread,home_odds,vegas_spread,honest_elo_home,honest_elo_away,honest_elo_diff,home_cover_spread,margin,canonical_target,home_rest,home_rolling_off,home_rolling_def,away_rest,away_rolling_off,away_rolling_def
21500039,2015-11-01,2015-16,2015-11-01,CHA,ATL,57.80926999654241,78.4252737225163,-37.19326627056853,910.0338041988188,852.2245342022765,-2.6266511701743696,2.6266511701743696,104.60078383155307,107.22743500172744,95.39921616844693,92.77256499827256,-1.3900000000000006,96.935,96.24,97.63,0.5230039191577653,0.5361371750086372,-0.0131332558508718,0.129,0.152,0.244,0.234,0.28,0.237,161.27900000000002,94.87,-4.983807930288862,-5.253302340348739,4.375427507421166,3.84159431310153,8.217021820522696,85.72742600806038,141.78248839113522,-56.05506238307484,2.814342173833261,64.277,53.3455,14.395147576530226,14.594910783201486,21.62661871306765,21.69152335607735,7.246946719446726,8.73920149510127,19.510581434663344,19.79356069459226,0.5230039191577653,0.5361371750086372,33.29022419436956,31.54413024096912,0.3568471148126115,0.3592238162197466,10.9315,-0.0131332558508718,-0.1997632066712604,4.280677901159092,4.232142328806491,105.76854082093963,125.80209522301637,-20.03355440207672,1.746093953400436,0.0,0.0,0.0,9.201567663106148,14.454870003454886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.195351843273295,186,0,92,94,2.0,122.0,2.0,1490.0,1510.0,80.0,0,-2,0,7.0,,,7.0,,
21500041,2015-11-01,2015-16,2015-11-01,MIA,HOU,-112.86169291886324,-215.5621688408437,10.161216996882786,815.4952739998404,928.3569669187036,6.995028644039905,-6.995028644039905,108.12234130463848,101.12731266059856,91.87765869536152,98.87268733940144,-4.280000000000001,96.28,94.14,98.42,0.5406117065231923,0.5056365633029928,0.0349751432201995,0.148,0.161,0.28,0.297,0.282,0.352,159.05200000000002,93.56,13.089097598727465,13.99005728807981,4.412556886869569,7.3316631858409504,11.74422007271052,89.49348900138729,110.30589939586228,-20.812410394474995,-6.672376967447072,63.868,64.596,13.969089842546872,14.895299349362318,22.34758544812112,24.942794838961305,7.123521522403596,7.811175812298188,21.25875630883006,19.73843700887162,0.5406117065231923,0.5056365633029928,31.945063324960312,33.4038348608596,0.3675125350556641,0.3469450674509774,-0.7280000000000015,0.0349751432201995,-0.9262095068154466,4.411064076681147,5.302527971426225,106.10698549782676,109.11501669792244,-3.0080312000956724,-1.4587715358992843,0.0,0.0,0.0,16.244682609276936,2.2546253211971248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.3943691972139,198,1,109,89,4.0,-160.0,-4.0,1490.0,1500.0,90.0,1,20,1,7.0,,,7.0,,
21500042,2015-11-01,2015-16,2015-11-01,TOR,MIL,-5.156499856637197,102.78144997004688,113.09444968332129,850.0952169101868,855.251716766824,0.9096164754134008,-0.9096164754134008,107.18465868090634,106.27504220549294,92.81534131909366,93.72495779450706,-1.7000000000000028,94.2,93.35,95.05,0.5359232934045317,0.5313752110274647,0.004548082377067,0.139,0.159,0.3,0.286,0.328,0.276,151.97999999999996,89.39999999999998,1.62639425803917,1.8192329508268017,9.739021132635289,7.516058860001322,17.25507999263661,144.40266431337588,153.2598166338742,-8.85715232049833,-0.5154439201709238,65.301,64.64,15.85691310742546,14.847883694996655,25.806251868327045,24.23559384590183,8.25718472284198,7.969056631048166,22.09386821811272,22.99671526515381,0.5359232934045317,0.5313752110274647,31.544260834382182,31.648504978351514,0.3644173950182278,0.3631627999206821,0.6610000000000014,0.004548082377067,1.009029412428804,5.934590262767606,5.354580166190585,122.60171841286092,126.36463854668344,-3.762920133822519,-0.104244143969332,0.0,0.0,0.0,14.369317361812676,12.550084410985876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.359424047409401,193,1,106,87,6.0,-242.0,-6.0,1510.0,1500.0,110.0,1,19,1,7.0,,,7.0,,
21500043,2015-11-01,2015-16,2015-11-01,CHI,ORL,-70.02036495097127,-67.428688024537,72.61204187740555,930.9938272863466,1001.0141922373178,2.562102523742979,-2.562102523742979,106.98813802670158,104.4260355029586,93.01186197329842,95.5739644970414,-0.0800000000000125,96.64,96.6,96.68,0.5349406901335079,0.522130177514793,0.0128105126187149,0.142,0.144,0.29,0.271,0.24,0.232,160.276,94.28,4.8311005187697305,5.12420504748593,5.023039741837168,4.650747021210148,9.673786763047318,108.86090893299364,140.0739351687981,-31.21302623580445,-3.3517390490984376,53.85537500000001,65.934,15.509467394546345,14.237020799056571,22.08680566132752,21.891379006087657,7.758841682441407,8.07406685328016,21.119422906761763,20.974721321384152,0.5349406901335079,0.522130177514793,30.77852653253361,32.779116321442274,0.3648279060784453,0.352396300903142,-12.078624999999988,0.0128105126187149,1.27244659548977,4.632645936259144,4.6233329124177125,110.4627904095054,125.22447660233604,-14.761686192830624,-2.000589788908659,0.0,0.0,0.0,13.976276053403154,8.852071005917196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.196614186912026,179,1,92,87,8.0,-365.0,-8.0,1490.0,1490.0,100.0,1,5,0,7.0,,,7.0,,
21500044,2015-11-01,2015-16,2015-11-01,OKC,DEN,114.86029182279526,268.4206211359672,38.70003749037664,1007.6673877270264,892.8070959042311,3.352368671207998,-3.352368671207998,107.63688905012698,104.28452037891898,92.36311094987302,95.71547962108102,1.2000000000000028,96.94,97.54,96.34,0.5381844452506349,0.5214226018945949,0.01676184335604,0.162,0.151,0.347,0.304,0.292,0.282,161.296,94.88,6.361454790484316,6.704737342416024,6.791575288275803,3.840800725701609,10.632376013977412,117.91614371558876,139.89420616630136,-21.978062450712613,-6.025413312818074,65.86149999999999,64.487,15.135077746486935,15.209024799665116,23.37945635161671,21.00625986161594,7.516705904385596,7.959055501932684,20.16395735038173,22.12071600452071,0.5381844452506349,0.5214226018945949,31.48577645692908,32.8519865604521,0.3572832471157403,0.3578319783197831,1.3744999999999976,0.01676184335604,-0.0739470531781787,5.171703142942011,4.235693279406594,114.32176651158971,120.46092381035578,-6.139157298766051,-1.3662101035230163,0.0,0.0,0.0,15.273778100253963,8.569040757837968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133898814833307,210,1,117,93,12.5,-1350.0,-12.5,1510.0,1490.0,120.0,1,24,1,7.0,,,7.0,,
21500045,2015-11-01,2015-16,2015-11-01,LAL,DAL,40.58273681429535,-70.38617361719639,-151.55164724578708,912.37556852879,871.7928317144947,1.665324715548195,-1.665324715548195,106.26014818754663,104.59482347199844,93.73985181245337,95.40517652800156,1.2099999999999935,95.945,96.55,95.34,0.5313007409377332,0.5229741173599922,0.0083266235777409,0.142,0.132,0.271,0.241,0.292,0.265,157.91299999999998,92.89,3.093840256545434,3.33064943109639,7.116011013943878,5.502218028165782,12.61822904210966,41.85230728381982,81.45437454158483,-39.60206725776501,5.97041908066624,65.309,64.5915,14.398772384842491,12.858154523789198,23.9629600901271,21.96767716722684,6.76997547532963,7.098914947493613,21.305518469286586,21.69126601718777,0.5313007409377332,0.5229741173599922,34.05811118415315,32.73411424195093,0.3537992091542149,0.3575864706382254,0.7175000000000011,0.0083266235777409,1.5406178610532937,5.197869418742008,4.680327516136767,87.04939078405161,102.21566050831662,-15.166269724265009,1.3239969422022213,0.0,0.0,0.0,12.520296375093269,9.189646943996877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.561682588158694,196,0,93,103,4.0,156.0,4.0,1490.0,1490.0,100.0,0,-10,0,7.0,,,7.0,,
21500052,2015-11-02,2015-16,2015-11-02,LAC,PHX,-57.51630852662936,9.247885869015136,124.28050292227384,892.0065564662023,949.5228649928316,5.391019579787624,-5.391019579787624,108.20082574241232,102.8098061626247,91.79917425758768,97.1901938373753,-2.5799999999999983,98.1,96.81,99.39,0.5410041287120616,0.5140490308131235,0.0269550978989381,0.133,0.173,0.234,0.297,0.318,0.271,165.23999999999998,97.2,10.48014206310711,10.78203915957522,7.387641494648584,5.237810428612932,12.625451923261515,92.24227253202596,107.62075501572878,-15.378482483702811,-1.659990598113211,53.821375,54.05649999999999,13.501154671726912,14.711537544481732,28.36022131717775,24.29879340943961,6.887698466540714,8.415889206547838,19.428248807429167,20.20017560085624,0.5410041287120616,0.5140490308131235,30.540250920536632,31.267535148787825,0.3472355410550836,0.3479591730628787,-0.2351249999999964,0.0269550978989381,-1.2103828727548205,5.728814506861369,4.720830040789128,101.32863458558298,113.62422187771944,-12.29558729213646,-0.7272842282511931,0.0,0.0,0.0,16.40165148482464,5.619612325249392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.801693797493748,198,1,102,96,9.0,-435.0,-9.0,1520.0,1519.4249887221547,100.5750112778453,1,6,0,7.0,,,7.0,,
21500049,2015-11-02,2015-16,2015-11-02,HOU,OKC,-46.42954762670365,-53.21219290795193,39.64690234545537,937.20387968574,983.6334273124436,-9.522957834911082,9.522957834911082,99.98017010911408,109.50312794402517,100.01982989088592,90.49687205597483,0.8799999999999955,97.98,98.42,97.54,0.4999008505455703,0.5475156397201257,-0.0476147891745554,0.161,0.162,0.297,0.347,0.352,0.292,164.83200000000002,96.96,-18.4669198334596,-19.0459156698222,5.552442190025674,4.702494875200834,10.254937065226509,148.26635102384907,125.64606066018293,22.62029036366616,9.237134807733137,53.543000000000006,54.392125,15.398137743669782,15.840556732532182,23.6188158715235,22.403993656636104,7.996499348067005,7.787705878972157,20.2526700973114,20.682949601546035,0.4999008505455703,0.5475156397201257,33.64358313276549,30.67755640141423,0.3435710533205774,0.3652206496954602,-0.8491249999999937,-0.0476147891745554,-0.4424189888623999,4.885067783189161,4.537406923901084,126.669001584712,119.91616783160023,6.752833753111773,2.9660267313512634,0.0,0.0,0.0,-0.03965978177186,19.006255888050305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.116735520193997,215,1,110,105,4.5,159.0,4.5,1489.71225631668,1519.4249887221547,70.28726759452525,1,5,1,1.0,89.0,109.0,1.0,117.0,93.0
21500050,2015-11-02,2015-16,2015-11-02,MIN,POR,92.4754995933746,124.5255230109874,-60.42547617576179,1040.3012686029688,947.8257690095942,-0.3283568077453367,0.3283568077453367,104.89592004152956,105.22427684927489,95.10407995847044,94.77572315072511,-0.8599999999999994,96.63,96.2,97.06,0.5244796002076477,0.5261213842463744,-0.0016417840387267,0.155,0.15,0.279,0.294,0.332,0.268,160.242,94.26,-0.6190182539615137,-0.6567136154906734,9.372189333395928,5.01688229063954,14.389071624035468,83.07059051752478,97.7127262629819,-14.642135745457123,-13.075213549870664,64.4875,53.437125,13.818361637366907,15.332236380032397,27.61340729463571,21.639382880857426,7.068231075827863,7.798857849646822,21.569208202504903,21.85810402456596,0.5244796002076477,0.5261213842463744,30.33117909037017,32.82617411852472,0.3462040992915471,0.3568052311100148,11.050375000000004,-0.0016417840387267,-1.5138747426654875,6.035767291188558,4.667443547309341,108.37178964328348,107.7674381248374,0.6043515184460659,-2.4949950281545483,0.0,0.0,0.0,9.7918400830591,10.448553698549771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.99631907490571,207,0,101,106,3.5,-177.0,-3.5,1510.0,1480.5750112778453,129.4249887221547,0,-5,0,7.0,,,7.0,,
21500046,2015-11-02,2015-16,2015-11-02,PHI,CLE,11.55321371282173,-197.852896208984,-220.95932363462748,943.8930199556324,932.3398062428108,-5.085319802771664,5.085319802771664,101.2652356396564,106.35055544242806,98.7347643603436,93.64944455757194,4.6200000000000045,96.13,98.44,93.82,0.506326178198282,0.5317527772121403,-0.0254265990138583,0.165,0.143,0.25,0.294,0.269,0.259,158.54199999999997,93.26,-9.48513849612972,-10.170639605543329,7.033168009052459,4.325114950996913,11.358282960049372,105.83146748224438,120.93042239744744,-15.098954915203052,-9.401285691987033,64.0685,52.92475,16.660606530841775,14.02556402773577,25.496804587796927,20.795889144913552,7.747800274762914,6.827209205130316,20.99279751617138,20.994446438055,0.506326178198282,0.5317527772121403,31.20719342405302,32.790912292726325,0.360010816072684,0.3560507707725336,11.143749999999995,-0.0254265990138583,2.635042503106005,5.352912982600574,4.3656388998791655,108.66726882779604,113.74544627041725,-5.078177442621183,-1.583718868673305,0.0,0.0,0.0,2.530471279312792,12.70111088485612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.143074967567182,207,0,100,107,13.0,916.0,13.0,1490.0,1510.0,80.0,0,-7,1,7.0,,,7.0,,
