game_id,home_team,away_team,date,season,def_matchup_advantage,effective_shooting_gap,whistle_leverage,volume_efficiency_diff,injury_leverage,net_fatigue_score,league_offensive_context,season_progress,three_point_matchup,star_power_leverage,offense_vs_defense_matchup,ewma_pace_diff,ewma_vol_3p_diff,target_spread,target_spread_cover,target_moneyline_win,target_over_under,target_game_total
21500001,ATL,DET,2015-10-27,2015-16,73.39651310513182,-0.0005068848308797,-0.0885037650421175,1441.1688244747984,-0.0037052979423842,0.06324342,4.989020245756891,0.0,0.0020520527908,0.0,2950.8301313357265,3.332209094156937,5.050836086713584,-12,0,0,1,200
21500002,CHI,CLE,2015-10-27,2015-16,53.8628720746608,-0.0226899096581365,-0.0395918413695013,-1699.40495694516,0.1342634544905012,0.06324342,4.989020245756891,0.0121951219512195,0.0078974397788714,10.494989826361234,-2471.7487497032785,-3.929291666610752,-3.413696204596849,2,1,1,1,192
21500003,GSW,NOP,2015-10-27,2015-16,-192.0101177790252,-0.0714937737820989,-0.0023986299469723,960.7210721024626,0.007162641862668,0.06324342,4.989020245756891,0.024390243902439,-0.1055383023619518,-0.0,-37514.083449105565,2.221338290865873,1.290495108357554,16,1,1,1,206
21500010,HOU,DEN,2015-10-28,2015-16,-38.924773850610336,-0.0289022203908992,0.0424511762338438,-279.131574491181,0.032431674494436,0.06324342,4.989020245756891,0.0365853658536585,-0.1545794305596044,-0.0,6464.603261119127,-0.6453961223625697,6.629089136498735,-20,0,0,1,190
21500004,ORL,WAS,2015-10-28,2015-16,-372.0807167303231,0.0187979746872926,-0.1111427825431111,-1310.581131112167,0.0,0.06324342,4.989020245756891,0.048780487804878,-0.0412993747421927,0.0,39009.585754077474,-3.030269798761396,-3.243013980627598,-1,0,0,1,175
21500005,BOS,PHI,2015-10-28,2015-16,-348.6979561298908,-0.029897991149807,0.0228729167718857,-538.4975813018318,0.205339,0.06324342,4.989020245756891,0.0609756097560975,-0.4969975118993228,15.0,-29021.372292827506,-1.2450911420800423,8.34025814264223,17,1,1,1,207
21500006,BKN,CHI,2015-10-28,2015-16,-62.30293362762313,0.0528659534000838,-0.0983654903635175,2348.0916448280395,-0.0132663983707336,0.26254343,4.989020245756891,0.073170731707317,0.0680313710739451,-0.0,22506.16228705693,5.038585669529397,3.015436383820493,-15,0,0,1,215
21500008,MIA,CHA,2015-10-28,2015-16,-53.11002201305587,-0.0341816432802729,-0.0753351606380292,907.7311962646454,-0.0006206638369419,0.06324342,4.989020245756891,0.0853658536585365,0.2563433542054414,0.0,-12559.398828987503,2.0988173598227178,-3.836834853283605,10,1,1,1,198
21500009,TOR,IND,2015-10-28,2015-16,51.62134076195093,0.0682120675217035,-0.1161804929911451,36.8770193445537,0.0003315175100109,0.06324342,4.989020245756891,0.0975609756097561,0.4123849470383102,-0.0,-12863.717612015644,0.0852654714274052,5.542183664262879,7,1,1,1,205
21500007,DET,UTA,2015-10-28,2015-16,-137.812860903618,-0.0114397037972612,-0.0520328599900306,41.01304323892691,0.0395744561616336,-0.13787007,4.989020245756891,0.1097560975609756,0.0056634488857769,0.0,-28210.061336027804,-2.983394477821051,1.0793000980508758,5,1,1,1,179
21500011,MEM,CLE,2015-10-28,2015-16,-22.425712781473976,0.0321086226503962,-0.0826925946945675,-726.7598481830123,-0.1298751806895714,0.26254343,4.989020245756891,0.1219512195121951,-0.0086154416117643,12.127375500131834,-843.8409374861784,-1.9702087396957493,-0.2112285542968415,-30,0,0,1,182
21500012,MIL,NYK,2015-10-28,2015-16,121.5192277964627,-0.0035319338466115,-0.1049427977879061,1485.9621782314052,-0.0527047166379166,0.06324342,4.989020245756891,0.1341463414634146,0.0923499116600154,0.0,22608.721443973936,3.43577837640251,2.4508584826092985,-25,0,0,1,219
21500014,PHX,DAL,2015-10-28,2015-16,-92.78148144440912,9.365117044612958e-05,0.0545283006144817,-3969.132532215383,0.0596564010352136,0.06324342,4.989020245756891,0.1463414634146341,0.0122344427406185,-0.0,-5539.645078564901,-9.177258968658409,-0.5673744340382214,-16,0,0,1,206
21500015,POR,NOP,2015-10-28,2015-16,-341.1640459898356,-0.0441491137105133,-0.057731520026349,453.5527964813402,-0.0187792801340507,0.26254343,4.989020245756891,0.1585365853658536,0.266065596370573,-0.0,-29777.25859240453,0.7725543304053843,-10.05981477752699,18,1,1,1,206
21500016,SAC,LAC,2015-10-28,2015-16,74.64480157110347,-0.0106373350150488,0.1017378670605804,-1623.3684641789068,0.0,0.06324342,4.989020245756891,0.1707317073170731,0.0905452247584393,0.0,-9354.107732306353,-3.753483330779005,-3.2874772967607377,-7,0,0,1,215
21500017,LAL,MIN,2015-10-28,2015-16,49.783906734133325,0.0013894264880602,-0.1001240750247711,-121.61386578950128,-0.0042286188101763,0.06324342,4.989020245756891,0.1829268292682926,-0.0864904023437613,0.0,-8728.033937285223,-0.2811903939894336,-5.5308816886600525,-1,0,0,1,223
21500013,OKC,SAS,2015-10-28,2015-16,-265.50322577676616,0.0167517781646359,-0.0126327151375135,1366.2330408312991,0.0529968622671757,0.06324342,4.989020245756891,0.1951219512195122,0.0312217296054724,-0.0,-26874.15372040554,3.1589457710166755,1.123295186229747,6,1,1,1,218
21500018,IND,MEM,2015-10-29,2015-16,0.1585406806245828,-0.0601222703148309,-0.0941165134539088,56.42131969602406,0.0132497859174803,0.06142994,4.989020245756891,0.2073170731707317,0.6167139007325059,0.0,-1573.612924695607,2.4869893863503165,-10.50966789842106,-9,0,0,1,215
