game_date,game_time,away_team,home_team,game_id,status
2024-10-22,19:30,NYK,BOS,401704627,Final
2024-10-22,22:00,MIN,LAL,401704628,Final
2024-10-23,19:00,IND,DET,401704629,Final
2024-10-23,19:30,BKN,ATL,401704630,Final
2024-10-23,19:30,ORL,MIA,401704631,Final
2024-10-23,19:30,MIL,PHI,401704632,Final
2024-10-23,19:30,CLE,TOR,401704633,Final
2024-10-23,20:00,CHA,HOU,401704634,Final
2024-10-23,20:00,CHI,NOP,401704635,Final
2024-10-23,21:00,MEM,UTA,401704636,Final
2024-10-23,22:00,PHX,LAC,401704637,Final
2024-10-23,22:00,GSW,POR,401704638,Final
2024-10-24,19:00,BOS,WAS,401704639,Final
2024-10-24,19:30,SAS,DAL,401704640,Final
2024-10-24,22:00,OKC,DEN,401704641,Final
2024-10-24,22:00,MIN,SAC,401704642,Final
2024-10-25,19:00,BKN,ORL,401704643,Final
2024-10-25,19:00,PHI,TOR,401704644,Final
2024-10-25,19:30,CHA,ATL,401704645,Final
2024-10-25,19:30,DET,CLE,401704646,Final
2024-10-25,19:30,IND,NYK,401704647,Final
2024-10-25,20:00,MEM,HOU,401704648,Final
2024-10-25,20:00,CHI,MIL,401704649,Final
2024-10-25,21:30,GSW,UTA,401704650,Final
2024-10-25,22:00,PHX,LAL,401704651,Final
2024-10-25,22:00,NOP,POR,401704652,Final
2024-10-26,17:00,LAC,DEN,401704653,Final
2024-10-26,19:00,MIA,CHA,401704654,Final
2024-10-26,19:00,BOS,DET,401704655,Final
2024-10-26,19:00,CLE,WAS,401704656,Final
2024-10-26,20:00,OKC,CHI,401704657,Final
2024-10-26,20:00,ORL,MEM,401704658,Final
2024-10-26,20:00,TOR,MIN,401704659,Final
2024-10-26,20:30,HOU,SAS,401704660,Final
2024-10-26,22:00,DAL,PHX,401704661,Final
2024-10-26,22:30,SAC,LAL,401704662,Final
2024-10-27,15:30,PHI,IND,401704663,Final
2024-10-27,18:00,MIL,BKN,401704664,Final
2024-10-27,18:00,NOP,POR,401704665,Final
2024-10-27,19:00,ATL,OKC,401704666,Final
2024-10-27,20:30,LAC,GSW,401704667,Final
2024-10-28,19:00,IND,ORL,401704668,Final
2024-10-28,19:30,WAS,ATL,401704669,Final
2024-10-28,19:30,MIL,BOS,401704670,Final
2024-10-28,19:30,DET,MIA,401704671,Final
2024-10-28,19:30,CLE,NYK,401704672,Final
2024-10-28,19:30,DEN,TOR,401704673,Final
2024-10-28,20:00,CHI,MEM,401704674,Final
2024-10-28,20:00,HOU,SAS,401704675,Final
2024-10-28,20:30,UTA,DAL,401704676,Final
2024-10-28,22:00,LAL,PHX,401704677,Final
2024-10-28,22:00,POR,SAC,401704678,Final
2024-10-29,19:30,DEN,BKN,401704679,Final
2024-10-29,19:30,DAL,MIN,401704680,Final
2024-10-29,21:00,SAC,UTA,401704681,Final
2024-10-29,22:00,NOP,GSW,401704682,Final
2024-10-30,19:00,TOR,CHA,401704683,Final
2024-10-30,19:00,LAL,CLE,401704684,Final
2024-10-30,19:00,BOS,IND,401704685,Final
2024-10-30,19:00,DET,PHI,401704686,Final
2024-10-30,19:00,ATL,WAS,401704687,Final
2024-10-30,19:30,NYK,MIA,401704688,Final
2024-10-30,20:00,ORL,CHI,401704689,Final
2024-10-30,20:00,BKN,MEM,401704690,Final
2024-10-30,21:30,SAS,OKC,401704691,Final
2024-10-30,22:00,NOP,GSW,401704692,Final
2024-10-30,22:30,POR,LAC,401704693,Final
2024-10-31,20:00,MIL,MEM,401704694,Final
2024-10-31,20:30,HOU,DAL,401704695,Final
2024-10-31,21:00,SAS,UTA,401704696,Final
2024-10-31,22:30,PHX,LAC,401704697,Final
2024-11-01,19:00,BOS,CHA,401704698,Final
2024-11-01,19:00,ORL,CLE,401704699,Final
2024-11-01,19:00,NYK,DET,401704700,Final
2024-11-01,19:30,SAC,ATL,401704701,Final
2024-11-01,19:30,CHI,BKN,401704702,Final
2024-11-01,19:30,LAL,TOR,401704703,Final
2024-11-01,20:00,IND,NOP,401704704,Final
2024-11-01,21:30,DEN,MIN,401704705,Final
2024-11-01,22:00,OKC,POR,401704706,Final
2024-11-02,18:00,BOS,CHA,401704707,Final
2024-11-02,19:30,MEM,PHI,401704708,Final
2024-11-02,19:30,SAC,TOR,401704709,Final
2024-11-02,20:00,GSW,HOU,401704710,Final
2024-11-02,20:00,CLE,MIL,401704711,Final
2024-11-02,20:00,MIN,SAS,401704712,Final
2024-11-02,21:30,MIA,WAS,401704713,Final
2024-11-02,22:00,UTA,DEN,401704714,Final
2024-11-02,22:00,POR,PHX,401704715,Final
2024-11-02,22:30,OKC,LAC,401704716,Final
2024-11-03,15:30,DET,BKN,401704717,Final
2024-11-03,19:00,ATL,NOP,401704718,Final
2024-11-03,19:30,ORL,DAL,401704719,Final
2024-11-04,19:00,MIL,CLE,401704720,Final
2024-11-04,19:15,GSW,WAS,401704721,Final
2024-11-04,19:30,LAL,DET,401704722,Final
2024-11-04,19:45,BOS,ATL,401704723,Final
2024-11-04,20:00,MEM,BKN,401704724,Final
2024-11-04,20:15,SAC,MIA,401704725,Final
2024-11-04,20:30,UTA,CHI,401704726,Final
2024-11-04,20:45,NYK,HOU,401704727,Final
2024-11-04,21:00,CHA,MIN,401704728,Final
2024-11-04,21:15,ORL,OKC,401704729,Final
2024-11-04,21:30,POR,NOP,401704730,Final
2024-11-04,21:45,IND,DAL,401704731,Final
2024-11-04,22:00,TOR,DEN,401704732,Final
2024-11-04,22:15,PHI,PHX,401704733,Final
2024-11-04,22:30,SAS,LAC,401704734,Final
2024-11-06,19:00,DET,CHA,401704735,Final
2024-11-06,19:00,ORL,IND,401704736,Final
2024-11-06,19:30,NYK,ATL,401704737,Final
2024-11-06,19:30,GSW,BOS,401704738,Final
2024-11-06,20:00,SAS,HOU,401704739,Final
2024-11-06,20:00,LAL,MEM,401704740,Final
2024-11-06,20:00,CLE,NOP,401704741,Final
2024-11-06,20:30,CHI,DAL,401704742,Final
2024-11-06,21:00,OKC,DEN,401704743,Final
2024-11-06,21:00,MIA,PHX,401704744,Final
2024-11-06,22:00,PHI,LAC,401704745,Final
2024-11-06,22:00,TOR,SAC,401704746,Final
2024-11-07,20:00,MIN,CHI,401704747,Final
2024-11-07,20:00,UTA,MIL,401704748,Final
2024-11-07,20:00,POR,SAS,401704749,Final
2024-11-08,19:00,IND,CHA,401704750,Final
2024-11-08,19:00,ATL,DET,401704751,Final
2024-11-08,19:00,NOP,ORL,401704752,Final
2024-11-08,19:30,BKN,BOS,401704753,Final
2024-11-08,19:30,GSW,CLE,401704754,Final
2024-11-08,19:30,MIL,NYK,401704755,Final
2024-11-08,19:30,PHX,DAL,401704756,Final
2024-11-08,20:00,WAS,MEM,401704757,Final
2024-11-08,20:00,HOU,OKC,401704758,Final
2024-11-08,21:00,POR,MIN,401704759,Final
2024-11-08,21:00,MIA,DEN,401704760,Final
2024-11-08,22:00,PHI,LAL,401704761,Final
2024-11-08,22:00,LAC,SAC,401704762,Final
2024-11-09,17:00,UTA,SAS,401704763,Final
2024-11-09,19:30,CHI,ATL,401704764,Final
2024-11-09,19:30,BKN,CLE,401704765,Final
2024-11-09,22:30,TOR,LAC,401704766,Final
2024-11-10,15:00,HOU,DET,401704767,Final
2024-11-10,15:30,BOS,MIL,401704768,Final
2024-11-10,17:00,NYK,IND,401704769,Final
2024-11-10,18:00,WAS,ORL,401704770,Final
2024-11-10,19:00,CHA,PHI,401704771,Final
2024-11-10,19:00,MIA,MIN,401704772,Final
2024-11-10,19:00,GSW,OKC,401704773,Final
2024-11-10,20:00,DAL,DEN,401704774,Final
2024-11-10,20:00,SAC,PHX,401704775,Final
2024-11-10,21:00,MEM,POR,401704776,Final
2024-11-10,21:30,TOR,LAL,401704777,Final
2024-11-11,20:00,CLE,CHI,401704778,Final
2024-11-11,20:00,WAS,HOU,401704779,Final
2024-11-11,20:00,BKN,NOP,401704780,Final
