game_date,home_team,away_team,home_ml_odds,away_ml_odds,bookmaker,snapshot_timestamp,api_game_id
2024-10-28,NYK,CLE,-375,270,DraftKings,2024-10-29T00:25:39Z,cb47726dd9940fa88bf3d2f24a0794ce
2024-10-28,MEM,CHI,-600,390,DraftKings,2024-10-29T00:25:39Z,79230185cd438af68ea49c6d68f5f91b
2024-10-28,SAS,HOU,195,-260,DraftKings,2024-10-29T00:25:39Z,a06a25ca228baede0d7fba2e86118c9f
2024-10-28,DAL,UTA,-700,500,DraftKings,2024-10-29T00:25:39Z,803eb6e3fb8e7139f9471dcb29a6693b
2024-10-28,PHX,LAL,-192,160,DraftKings,2024-10-29T00:25:39Z,b06bb50b14ed2f9b40418a1d2dd209d4
2024-10-28,SAC,POR,-750,525,DraftKings,2024-10-29T00:25:39Z,197c28e2d655a7b5f33f005ffa99d233
2024-10-29,MIN,DAL,-175,135,DraftKings,2024-10-30T00:25:39Z,15893327c28d5d11f74b1b9a0560aa78
2024-10-29,BKN,DEN,-130,100,DraftKings,2024-10-30T00:25:39Z,351ec2a958a204ecb22489330d658ce6
2024-10-29,UTA,SAC,210,-258,DraftKings,2024-10-30T00:25:39Z,64b97e005d46756473c62e9fe2fe9363
2024-10-29,GSW,NOP,105,-125,DraftKings,2024-10-30T00:25:39Z,7e53379b83a207f929bf35d6f4a0e5c3
2024-10-30,WAS,ATL,400,-600,DraftKings,2024-10-31T00:25:39Z,9fadc26265b153d0280dd8382d9c5ac5
2024-10-30,PHI,DET,175,-230,DraftKings,2024-10-31T00:25:39Z,a3c6e5d32e56f40a45b595b4cf999e79
2024-10-30,CLE,LAL,-2800,1200,DraftKings,2024-10-31T00:25:39Z,3366cac8007c5e968fa480aa6ce14408
2024-10-30,CHA,TOR,-260,195,DraftKings,2024-10-31T00:25:39Z,0e47e2449a96f6b0ad731135660f3871
2024-10-30,IND,BOS,-200,154,DraftKings,2024-10-31T00:25:39Z,cde552586229236873e3698b720babd8
2024-10-30,MIA,NYK,-120,-110,DraftKings,2024-10-31T00:25:39Z,18029e934db1e5370d8acabb33c17e0f
2024-10-30,CHI,ORL,450,-720,DraftKings,2024-10-31T00:25:39Z,53ae735ffa24e569c3893b37c067e232
2024-10-30,MEM,BKN,-1050,600,DraftKings,2024-10-31T00:25:39Z,4849304d19eb215b0d30f83f7ee7aa28
2024-10-30,OKC,SAS,-800,550,DraftKings,2024-10-31T00:25:39Z,7555c1b4ee9fafda7ef05850a0753425
2024-10-30,GSW,NOP,-162,136,DraftKings,2024-10-31T00:25:39Z,9b89376475f9e0121ebac0b7a1dac95b
2024-10-30,LAC,POR,-325,260,DraftKings,2024-10-31T00:25:39Z,902fc430d7ad80e0f78ca62198993956
2024-10-31,MEM,MIL,135,-175,DraftKings,2024-11-01T00:25:39Z,189d69ff1460fe7810e1f523220f2a4c
2024-10-31,DAL,HOU,-258,210,DraftKings,2024-11-01T00:25:39Z,23e16aad02fd623a17b1a24c28846a36
2024-10-31,UTA,SAS,114,-135,DraftKings,2024-11-01T00:25:39Z,e3a74199e6cc3f0ad1099045b5c8cce7
2024-10-31,LAC,PHX,160,-192,DraftKings,2024-11-01T00:25:39Z,508b10d9c88192aa51f65527745b05ea
2024-11-01,CLE,ORL,-6500,1800,DraftKings,2024-11-02T00:25:39Z,78f15d141ebf7a3845bd4be3a4828a82
2024-11-01,DET,NYK,3300,-10000,BetMGM,2024-11-02T00:25:39Z,77edacd134038bd26fb356dd29652cf3
2024-11-01,CHA,BOS,390,-600,DraftKings,2024-11-02T00:25:39Z,e3520db55ef2d7e8de8e2ed204a544c8
2024-11-01,ATL,SAC,450,-720,DraftKings,2024-11-02T00:25:39Z,4de83a69c1b9c9f100c25c109450b15d
2024-11-01,BKN,CHI,-620,400,DraftKings,2024-11-02T00:25:39Z,f329b1799617663930ea0ac475620925
2024-11-01,TOR,LAL,1800,-6500,DraftKings,2024-11-02T00:25:39Z,6b3c89551ffb520dc60046290dbab9c5
