bet_number,bet_side,model_prob,edge,bet_amount,profit,result
0,home,0.61192423,0.11192423,100,100,win
1,home,0.85484165,0.35484165,100,-100,loss
2,home,0.73516667,0.23516667,100,100,win
3,home,0.63203114,0.13203114,100,100,win
4,away,0.12288278,0.37711722,100,100,win
5,away,0.2877663,0.21223366,100,100,win
6,away,0.334721,0.16527903,100,100,win
7,home,0.75524515,0.25524515,100,-100,loss
8,home,0.8089644,0.30896437,100,100,win
9,home,0.6996037,0.19960368,100,-100,loss
10,home,0.75430304,0.25430304,100,100,win
11,away,0.33718827,0.16281176,100,-100,loss
12,home,0.58988607,0.08988607,100,100,win
13,away,0.27321357,0.22678643,100,100,win
14,away,0.42953753,0.070462465,100,-100,loss
15,away,0.39650986,0.103490114,100,-100,loss
16,home,0.66210467,0.16210467,100,100,win
17,home,0.5802097,0.08020967,100,100,win
18,away,0.42147008,0.078529954,100,100,win
19,home,0.6686786,0.16867858,100,-100,loss
20,home,0.6096343,0.10963428,100,100,win
21,home,0.5826457,0.082645714,100,-100,loss
22,away,0.19926438,0.3007356,100,100,win
24,away,0.37260482,0.12739515,100,-100,loss
25,away,0.4794094,0.020590603,100,100,win
26,away,0.27992874,0.22007126,100,-100,loss
27,home,0.6480883,0.14808828,100,100,win
28,away,0.4138195,0.08618051,100,100,win
29,home,0.6947558,0.1947558,100,100,win
30,away,0.4553711,0.04462886,100,100,win
31,home,0.89379317,0.39379317,100,100,win
32,away,0.3982803,0.10171974,100,-100,loss
33,home,0.70992994,0.20992994,100,100,win
34,home,0.5511587,0.051158726,100,-100,loss
35,home,0.6444275,0.14442748,100,-100,loss
36,home,0.7290104,0.2290104,100,-100,loss
37,home,0.66038114,0.16038114,100,100,win
38,away,0.306599,0.19340098,100,-100,loss
39,home,0.6862623,0.18626231,100,100,win
40,home,0.7283187,0.22831869,100,100,win
41,home,0.9215698,0.42156982,100,-100,loss
42,home,0.7292935,0.22929353,100,-100,loss
43,away,0.38481092,0.115189075,100,-100,loss
44,home,0.66053414,0.16053414,100,100,win
45,home,0.54556566,0.045565665,100,100,win
46,home,0.720478,0.220478,100,-100,loss
47,home,0.6351347,0.1351347,100,-100,loss
48,home,0.5256377,0.025637686,100,-100,loss
49,away,0.47231546,0.02768457,100,100,win
50,away,0.47197595,0.028024077,100,-100,loss
