feature,importance
off_elo_diff,0.19267716
def_elo_diff,0.08571186
away_composite_elo,0.069070294
league_offensive_context,0.067325585
net_fatigue_score,0.046669144
ewma_pace_diff,0.041175894
ewma_efg_diff,0.039839417
injury_matchup_advantage,0.03667142
offense_vs_defense_matchup,0.03562793
pace_efficiency_interaction,0.035182506
ewma_orb_diff,0.03262593
net_free_throw_advantage,0.032463502
season_progress,0.032358635
total_foul_environment,0.032214865
projected_possession_margin,0.03208225
ewma_tov_diff,0.031998493
star_power_leverage,0.031834744
ewma_vol_3p_diff,0.031520344
ewma_chaos_home,0.031338345
ewma_foul_synergy_home,0.030809948
three_point_matchup,0.030801808
