bet_number,bet_side,model_prob,edge,bet_amount,profit,result
1400,home,0.83920556,0.33920556,100,100,win
1401,home,0.63384193,0.13384193,100,-100,loss
1402,home,0.72325826,0.22325826,100,100,win
1403,home,0.6230198,0.123019814,100,100,win
1404,home,0.62077296,0.12077296,100,-100,loss
1405,home,0.86020166,0.36020166,100,100,win
1406,away,0.46992034,0.030079663,100,100,win
1407,home,0.7060603,0.20606029,100,100,win
1408,home,0.88198435,0.38198435,100,100,win
1409,home,0.8279468,0.32794678,100,100,win
1410,home,0.70504355,0.20504355,100,100,win
1411,home,0.76434135,0.26434135,100,100,win
1412,home,0.8631712,0.36317122,100,100,win
1413,away,0.21670704,0.28329295,100,100,win
1414,home,0.6629439,0.1629439,100,-100,loss
1415,home,0.8771526,0.37715262,100,-100,loss
1416,home,0.8227053,0.32270533,100,-100,loss
1417,away,0.40136743,0.098632574,100,100,win
1418,away,0.15013394,0.34986603,100,100,win
1419,home,0.74540263,0.24540263,100,100,win
1420,away,0.23531123,0.2646888,100,100,win
1421,away,0.35086823,0.14913177,100,100,win
1422,away,0.33715835,0.16284168,100,-100,loss
1423,home,0.5772664,0.077266395,100,-100,loss
1424,home,0.6884193,0.18841928,100,100,win
1425,home,0.63706106,0.13706106,100,100,win
1426,home,0.77439,0.27438998,100,-100,loss
1427,home,0.71511316,0.21511316,100,100,win
1428,away,0.37760022,0.12239981,100,-100,loss
1429,home,0.892286,0.392286,100,100,win
1430,home,0.8723178,0.3723178,100,-100,loss
1431,home,0.68115324,0.18115324,100,100,win
1432,home,0.8958178,0.39581782,100,100,win
1433,away,0.35228673,0.1477133,100,100,win
1434,home,0.5642658,0.06426579,100,100,win
1435,home,0.8640592,0.3640592,100,100,win
1436,home,0.810189,0.310189,100,100,win
1437,home,0.55295616,0.052956164,100,100,win
1438,home,0.6529363,0.15293628,100,-100,loss
1439,home,0.6618273,0.16182733,100,-100,loss
1440,home,0.89120835,0.39120835,100,100,win
1441,home,0.77336997,0.27336997,100,100,win
1442,away,0.4382153,0.061784744,100,100,win
1444,home,0.9158235,0.41582352,100,100,win
1445,away,0.27959105,0.22040892,100,100,win
1446,away,0.36841753,0.1315825,100,100,win
1448,home,0.7506638,0.25066382,100,100,win
1449,away,0.13529244,0.3647076,100,-100,loss
1450,home,0.94405806,0.44405806,100,100,win
1451,home,0.8287476,0.32874757,100,-100,loss
1452,home,0.74106425,0.24106425,100,100,win
1454,home,0.6875253,0.18752527,100,100,win
1455,home,0.5973521,0.09735209,100,100,win
