feature,importance
off_elo_diff,0.19367139
home_composite_elo,0.09922039
def_elo_diff,0.07989934
league_offensive_context,0.05770751
net_fatigue_score,0.044368416
ewma_pace_diff,0.040745497
ewma_efg_diff,0.039180703
injury_matchup_advantage,0.034756966
pace_efficiency_interaction,0.034639604
offense_vs_defense_matchup,0.034334134
total_foul_environment,0.03320212
ewma_orb_diff,0.03211713
season_progress,0.031963456
net_free_throw_advantage,0.031720884
ewma_vol_3p_diff,0.031099156
projected_possession_margin,0.031058129
ewma_tov_diff,0.030741885
ewma_foul_synergy_home,0.030311199
three_point_matchup,0.029908706
star_power_leverage,0.029833846
ewma_chaos_home,0.029519532
