game_date,home_team,away_team,game_time,game_id,game_status
2025-12-13,ORL,NYK,2025-12-13T22:30:00Z,0022501229,5:30 pm ET
2025-12-13,OKC,SAS,2025-12-14T02:00:00Z,0022501230,9:00 pm ET
