number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_std_logloss,state
17,0.6615428542703032,2025-12-10 15:41:11.917019,2025-12-10 15:41:12.467658,0 days 00:00:00.550639,0.8865030309585002,0.9386472244669987,0.5011965297510673,5.159859346451929,0.13942567444478288,3,11,80,3421,0.00095509428244054,0.0001812505796015169,1.0718324376398272,0.5885413691366914,72,0.004080747992504096,COMPLETE
18,0.6712856127855282,2025-12-10 15:41:12.467658,2025-12-10 15:41:15.865660,0 days 00:00:03.398002,0.8904107259519373,0.817574127162187,0.710689475535578,7.4139230907912435,0.07263794525470069,4,10,60,3961,51.00694932159912,0.0009496623569781855,1.0727742422101114,0.4095471219281729,967,0.001747682179374496,COMPLETE
19,0.664759686759903,2025-12-10 15:41:15.867665,2025-12-10 15:41:17.357180,0 days 00:00:01.489515,0.75502740690996,0.8757243670810064,0.7734175575952126,9.510194888605817,0.07349510338828644,1,12,98,2006,0.0593549243321691,99.19298612084633,1.1539491709908227,0.4470604981396301,359,0.0027006842205088482,COMPLETE
20,0.6653004598403883,2025-12-10 15:41:17.359183,2025-12-10 15:41:17.983757,0 days 00:00:00.624574,0.5991404239873142,0.9242208508750968,0.6372564252653926,4.729478067223679,0.07602639427491982,2,8,9,1975,0.0010135978260814467,0.04245885565539361,1.0376316280200926,0.9309385359173061,27,0.0039152328597227126,COMPLETE
21,0.6589644941207975,2025-12-10 15:41:17.985761,2025-12-10 15:41:19.076359,0 days 00:00:01.090598,0.8628375380978258,0.7977243163101656,0.6380363912856372,2.9212332591403074,0.03326420431403248,3,8,71,3111,0.037184684615657465,0.0018901388496866433,1.0017027743463551,0.480782381264163,142,0.003856721635720565,COMPLETE
22,0.6603666501887452,2025-12-10 15:41:19.078362,2025-12-10 15:41:20.454729,0 days 00:00:01.376367,0.8269640749047501,0.7790927239651261,0.6935568668884377,2.8685420009630667,0.02696968233181633,4,10,48,3377,0.16180520099728,0.0005074702717820356,1.1203160178750944,0.5514538272778605,148,0.0051772567067326775,COMPLETE
23,0.6594267239037366,2025-12-10 15:41:20.456732,2025-12-10 15:41:22.868672,0 days 00:00:02.411940,0.9165364868720345,0.7941520818387335,0.6253797696255109,0.17681010573513856,0.013840505195802405,2,8,73,3105,0.02419220302469672,0.0031654896282161562,1.0186185607107365,0.46656808414463075,389,0.003990614512007814,COMPLETE
24,0.6598840573031708,2025-12-10 15:41:22.870673,2025-12-10 15:41:25.889080,0 days 00:00:03.018407,0.9609229970700908,0.7750837558241307,0.49552862655494895,0.4972627593536373,0.01571416812414887,0,7,90,2630,0.013122405802834424,0.004268665904716079,0.943352767524398,0.6291280988596664,444,0.005002748975160403,COMPLETE
25,0.6625140887850994,2025-12-10 15:41:25.899688,2025-12-10 15:41:28.327895,0 days 00:00:02.428207,0.9076258061986817,0.6339078324795238,0.6119659507857218,2.528706336608022,0.030015511213086595,2,8,64,3171,0.0010505242487099063,0.0034514772271861333,0.845614244059512,0.5224708022006375,172,0.004229703574906194,COMPLETE
26,0.6596146419439972,2025-12-10 15:41:28.329898,2025-12-10 15:41:32.397551,0 days 00:00:04.067653,0.8258320645941918,0.7942082593508473,0.5185297587426653,1.6947978698455088,0.012413445060097021,4,6,40,3680,0.025438768719602073,0.04237487988205953,1.011657538461992,0.43712327607208146,359,0.004735302212757304,COMPLETE
27,0.6592864539102241,2025-12-10 15:41:32.399300,2025-12-10 15:41:38.877534,0 days 00:00:06.478234,0.9782720704987835,0.9193733453075493,0.6148606684786541,0.04001941915921936,0.006717186839907003,1,8,69,2647,0.4680696121532041,0.025018526975052077,1.019559387587481,0.48710443525056346,765,0.005011042796202521,COMPLETE
28,0.663350831634271,2025-12-10 15:41:38.878042,2025-12-10 15:41:46.755545,0 days 00:00:07.877503,0.9935858350996745,0.9084637361765158,0.526982223177596,0.168817400302685,0.0060352063019220815,1,7,95,3029,0.41645360617059335,0.00033383569245164826,0.8276840200952443,0.5924088813737604,1152,0.004776907835869513,COMPLETE
