game_date,matchup,model_prob,edge,kelly_frac,bet_size,won,profit,bankroll,penalty_reason
2025-03-12,CHA @ ATL,0.590297,0.06629699999999994,0.048868294999999985,8159746016.017708,True,7417209128.560097,174391440908.44336,No penalty
2025-03-12,UTA @ MEM,0.5572692,0.0332692,0.024592862000000045,4288784640.24251,True,3898505237.9804416,178289946146.4238,No penalty
2025-03-12,PHX @ HOU,0.6060729,0.0820729,0.060463581500000016,10780048689.454908,True,9799064258.714512,188089010405.1383,No penalty
2025-03-13,BKN @ CHI,0.6265537,0.10255369999999997,0.07551696950000002,14203912062.050014,True,12911356064.403463,201000366469.54178,No penalty
2025-03-13,SAC @ GSW,0.62939596,0.10539595999999996,0.07760603059999999,15598840590.84647,True,14179346097.079441,215179712566.62122,No penalty
2025-03-14,IND @ PHI,0.6191676,0.09516760000000002,0.07008818600000005,15081555717.795897,False,-15081555717.795897,200098156848.82532,No penalty
2025-03-14,TOR @ UTA,0.6633427,0.13934269999999993,0.10255688449999996,16007852547.906025,False,-16007852547.906025,184090304300.91928,No penalty
2025-03-14,CHA @ SAS,0.56492084,0.04092083999999996,0.030216817400000002,5562623110.171313,False,-5562623110.171313,178527681190.74796,No penalty
2025-03-14,LAL @ DEN,0.7042751,0.18027510000000002,0.13264219850000003,14282214495.259836,True,12982532976.19119,191510214166.93915,No penalty
2025-03-14,SAC @ PHX,0.6017859,0.07778589999999996,0.057312636500000014,10975955290.586937,True,9977143359.143526,201487357526.08267,No penalty
2025-03-14,ORL @ MIN,0.7091661,0.1851661,0.13623708350000002,16118988602.086615,True,14652160639.296734,216139518165.3794,No penalty
2025-03-15,OKC @ DET,0.5541909,0.03019090000000002,0.022330311500000043,4826462768.09284,False,-4826462768.09284,211313055397.28656,No penalty
2025-03-15,CHI @ HOU,0.5943394,0.07033939999999994,0.05183945899999996,10954354471.432358,True,9957508214.532013,221270563611.81857,No penalty
2025-03-15,MIA @ MEM,0.55664766,0.03264765999999997,0.02413603009999999,5340592983.578815,True,4854599022.073143,226125162633.89172,No penalty
