date,game,bet_side,bet_team,edge,win_prob,odds_american,odds_decimal,stake,result,pnl,is_favorite,month
2024-10-22,NYK @ BOS,away,NYK,0.31755178142910356,0.3973063826560974,1100.0,12.0,100,LOSS,-100.0,False,2024-10
2024-10-22,MIN @ LAL,home,LAL,0.11352785353025147,0.6026936173439026,-105.0,1.9523809523809523,100,WIN,90.66666666666666,True,2024-10
2024-10-23,IND @ DET,away,IND,0.14652223489167615,0.5,170.0,2.7,100,WIN,161.84000000000003,False,2024-10
2024-10-23,CLE @ TOR,home,TOR,0.2410993186438956,0.40695297718048096,470.0,5.7,100,LOSS,-100.0,False,2024-10
2024-10-23,ORL @ MIA,home,MIA,0.04435498062111576,0.6239151358604431,-160.0,1.625,100,LOSS,-100.0,True,2024-10
2024-10-23,MIL @ PHI,home,PHI,0.20361633221959624,0.5596491098403931,165.0,2.65,100,LOSS,-100.0,False,2024-10
2024-10-23,GSW @ POR,home,POR,0.11198614144111307,0.40695297718048096,225.0,3.25,100,LOSS,-100.0,False,2024-10
2024-10-23,CHI @ NOP,away,CHI,0.03026161534946098,0.4149797558784485,145.0,2.45,100,LOSS,-100.0,False,2024-10
2024-10-23,MEM @ UTA,home,UTA,0.15413473206045158,0.6026936173439026,114.0,2.1399999999999997,100,LOSS,-100.0,False,2024-10
2024-10-23,PHX @ LAC,home,LAC,0.1260670382224392,0.4951266944408417,160.0,2.6,100,LOSS,-100.0,False,2024-10
2024-10-23,CHA @ HOU,away,CHA,0.20038609626965648,0.5048732757568359,210.0,3.1,100,WIN,199.92,False,2024-10
2024-10-24,BOS @ WAS,home,WAS,0.27403130103474016,0.353785902261734,1100.0,12.0,100,LOSS,-100.0,False,2024-10
2024-10-24,SAS @ DAL,away,SAS,0.1458850718701722,0.44035089015960693,220.0,3.2,100,LOSS,-100.0,False,2024-10
2024-10-24,OKC @ DEN,home,DEN,0.0653989563879388,0.6081424951553345,-130.0,1.7692307692307692,100,LOSS,-100.0,True,2024-10
2024-10-25,IND @ NYK,away,IND,0.315516787497454,0.6462141275405884,185.0,2.85,100,LOSS,-100.0,False,2024-10
2024-10-25,BKN @ ORL,home,ORL,0.03819887044335146,0.8333333134651184,-540.0,1.1851851851851851,100,WIN,17.629629629629623,True,2024-10
2024-10-25,PHI @ TOR,home,TOR,0.18578553199768066,0.6857855319976807,-115.0,1.8695652173913042,100,WIN,82.78260869565216,True,2024-10
2024-10-25,DET @ CLE,away,DET,0.30438724902536574,0.5048732757568359,370.0,4.7,100,LOSS,-100.0,False,2024-10
2024-10-25,CHA @ ATL,away,CHA,0.1722468706539699,0.3179611563682556,550.0,6.5,100,LOSS,-100.0,False,2024-10
2024-10-25,GSW @ UTA,home,UTA,0.1255754774964356,0.43478259444236755,210.0,3.1,100,LOSS,-100.0,False,2024-10
2024-10-25,CHI @ MIL,away,CHI,0.19853012202304934,0.44035089015960693,290.0,3.9,100,WIN,276.08,False,2024-10
2024-10-25,PHX @ LAL,home,LAL,0.09782855059872342,0.6239151358604431,-122.0,1.819672131147541,100,WIN,78.0327868852459,True,2024-10
2024-10-25,NOP @ POR,home,POR,0.3765784150517487,0.6857855319976807,210.0,3.1,100,LOSS,-100.0,False,2024-10
2024-10-25,MEM @ HOU,away,MEM,0.3326548055066901,0.6462141275405884,200.0,3.0,100,LOSS,-100.0,False,2024-10
2024-10-26,BOS @ DET,home,DET,0.16333759633026806,0.20930232107639313,2000.0,21.0,100,LOSS,-100.0,False,2024-10
2024-10-26,MIA @ CHA,home,CHA,0.3673414175327007,0.5596491098403931,390.0,4.9,100,LOSS,-100.0,False,2024-10
2024-10-26,CLE @ WAS,home,WAS,0.1822377851069223,0.353785902261734,450.0,5.5,100,LOSS,-100.0,False,2024-10
2024-10-26,OKC @ CHI,home,CHI,0.16530422686906385,0.353785902261734,400.0,5.0,100,LOSS,-100.0,False,2024-10
2024-10-26,TOR @ MIN,away,TOR,0.054564349922759214,0.10052907466888428,2000.0,21.0,100,LOSS,-100.0,False,2024-10
2024-10-26,DAL @ PHX,home,PHX,0.4824635663777224,0.8994709253311157,130.0,2.3,100,WIN,123.75999999999996,False,2024-10
2024-10-26,SAC @ LAL,home,LAL,0.07418600793520269,0.5850202441215515,-115.0,1.8695652173913042,100,WIN,82.78260869565216,True,2024-10
2024-10-26,HOU @ SAS,home,SAS,0.11110682938327132,0.5850202441215515,102.0,2.02,100,WIN,97.104,False,2024-10
2024-10-27,MIL @ BKN,away,MIL,0.659675703529493,0.688524603843689,3300.0,34.0,100,LOSS,-100.0,False,2024-10
2024-10-27,ATL @ OKC,away,ATL,0.1853173331126271,0.44035089015960693,270.0,3.7,100,LOSS,-100.0,False,2024-10
2024-10-27,LAC @ GSW,away,LAC,0.3311194802717442,0.5652173757553101,310.0,4.1,100,WIN,295.11999999999995,False,2024-10
2024-10-28,DEN @ TOR,away,DEN,0.15284722653504845,0.7906976938247681,-210.0,1.4761904761904763,100,WIN,45.33333333333334,True,2024-10
