feature1,feature2,correlation,abs_corr
season_year,season_year_normalized,1.0000000000000004,1.0000000000000004
away_ewma_fta_rate,ewma_foul_synergy_away,0.9999999999999967,0.9999999999999967
games_into_season,season_progress,0.9999999999999951,0.9999999999999951
games_into_season,season_month,0.8589437444169271,0.8589437444169271
season_progress,season_month,0.8589437444169244,0.8589437444169244
injury_impact_diff,star_mismatch,0.8317736424717949,0.8317736424717949
ewma_foul_synergy_home,total_foul_environment,0.750749090165344,0.750749090165344
ewma_foul_synergy_away,total_foul_environment,0.7492926923477875,0.7492926923477875
away_ewma_fta_rate,total_foul_environment,0.7492926923477873,0.7492926923477873
ewma_chaos_home,ewma_net_chaos,0.7327206984386626,0.7327206984386626
injury_impact_abs,away_star_missing,0.6876669038441189,0.6876669038441189
ewma_tov_diff,away_ewma_tov_pct,0.6875076376118407,0.6875076376118407
injury_impact_abs,home_star_missing,0.6830848582024158,0.6830848582024158
ewma_orb_diff,home_orb,0.6813245586277052,0.6813245586277052
injury_impact_diff,injury_shock_diff,0.6791555718432718,0.6791555718432718
ewma_orb_diff,away_orb,-0.6733432140373794,0.6733432140373794
away_star_missing,star_mismatch,-0.6341170451498911,0.6341170451498911
home_star_missing,star_mismatch,0.6336141731448562,0.6336141731448562
injury_shock_away,injury_shock_diff,-0.6178761724523631,0.6178761724523631
injury_shock_away,away_star_missing,0.6166924144625219,0.6166924144625219
injury_shock_home,injury_shock_diff,0.6073787464294257,0.6073787464294257
injury_shock_home,home_star_missing,0.6050808525850624,0.6050808525850624
injury_shock_diff,star_mismatch,0.5791189345914969,0.5791189345914969
away_rest_days,away_back_to_back,-0.5556069988477671,0.5556069988477671
injury_impact_abs,injury_shock_away,0.551407316027028,0.551407316027028
injury_impact_abs,injury_shock_home,0.5503371022639905,0.5503371022639905
away_back_to_back,away_3in4,0.5319697570892281,0.5319697570892281
injury_impact_diff,away_star_missing,-0.5311858853724442,0.5311858853724442
injury_impact_diff,home_star_missing,0.5232775322325193,0.5232775322325193
ewma_efg_diff,home_ewma_3p_pct,0.5018634410549112,0.5018634410549112
ewma_efg_diff,away_ewma_3p_pct,-0.5000387949629028,0.5000387949629028
home_rest_days,away_rest_days,0.4973083739467944,0.4973083739467944
home_rest_days,home_back_to_back,-0.490390395510811,0.490390395510811
home_back_to_back,home_3in4,0.4400270362744107,0.4400270362744107
injury_impact_diff,injury_shock_away,-0.42294514221570406,0.42294514221570406
games_into_season,endgame_phase,0.41619925601557,0.41619925601557
season_progress,endgame_phase,0.4161992560155693,0.4161992560155693
injury_impact_diff,injury_shock_home,0.40915929711082494,0.40915929711082494
ewma_efg_diff,ewma_orb_diff,-0.400127126347552,0.400127126347552
endgame_phase,season_month,0.39730134040440207,0.39730134040440207
away_rest_days,away_3in4,-0.3957601223533165,0.3957601223533165
injury_shock_diff,away_star_missing,-0.370245014802194,0.370245014802194
injury_shock_away,star_mismatch,-0.3641515271503246,0.3641515271503246
injury_shock_diff,home_star_missing,0.36392053029953825,0.36392053029953825
home_rest_days,home_3in4,-0.3480708866982454,0.3480708866982454
injury_shock_home,star_mismatch,0.3453513118259674,0.3453513118259674
home_composite_elo,is_season_opener,0.3179813746488332,0.3179813746488332
ewma_efg_diff,away_orb,0.27371284545537616,0.27371284545537616
ewma_efg_diff,home_orb,-0.26836911776731864,0.26836911776731864
total_foul_environment,season_year_normalized,-0.2636920374589026,0.2636920374589026
total_foul_environment,season_year,-0.2636920374588492,0.2636920374588492
ewma_pace_diff,home_composite_elo,0.2597413421855045,0.2597413421855045
is_season_opener,endgame_phase,-0.2554056636817103,0.2554056636817103
home_composite_elo,endgame_phase,-0.2499071977656667,0.2499071977656667
injury_shock_home,injury_shock_away,0.24934208666800778,0.24934208666800778
home_ewma_3p_pct,home_orb,-0.22309053757763142,0.22309053757763142
away_ewma_3p_pct,away_orb,-0.2226357858596585,0.2226357858596585
home_rest_days,fatigue_mismatch,0.21866711731256136,0.21866711731256136
injury_shock_away,season_year_normalized,-0.21827353283083625,0.21827353283083625
injury_shock_away,season_year,-0.2182735328308334,0.2182735328308334
injury_shock_home,season_year_normalized,-0.210998422002954,0.210998422002954
injury_shock_home,season_year,-0.2109984220029512,0.2109984220029512
altitude_game,def_elo_diff,0.2029512118320438,0.2029512118320438
ewma_foul_synergy_home,season_year_normalized,-0.20259314468239908,0.20259314468239908
ewma_foul_synergy_home,season_year,-0.20259314468236161,0.20259314468236161
home_star_missing,away_star_missing,0.19642869415801098,0.19642869415801098
away_ewma_fta_rate,season_year_normalized,-0.19294436248249444,0.19294436248249444
ewma_foul_synergy_away,season_year_normalized,-0.19294436248247726,0.19294436248247726
away_ewma_fta_rate,season_year,-0.1929443624824579,0.1929443624824579
ewma_foul_synergy_away,season_year,-0.19294436248243965,0.19294436248243965
injury_impact_abs,season_year,0.18638114824222438,0.18638114824222438
injury_impact_abs,season_year_normalized,0.18638114824220767,0.18638114824220767
ewma_efg_diff,ewma_vol_3p_diff,0.1829647117803166,0.1829647117803166
ewma_orb_diff,home_ewma_3p_pct,-0.17924963519793408,0.17924963519793408
home_orb,season_year,0.17789603002180077,0.17789603002180077
home_orb,season_year_normalized,0.17789603002175677,0.17789603002175677
ewma_orb_diff,away_ewma_3p_pct,0.1709028429544891,0.1709028429544891
away_orb,season_year,0.16943857523906158,0.16943857523906158
away_orb,season_year_normalized,0.1694385752390165,0.1694385752390165
fatigue_mismatch,away_back_to_back,0.16743423135670954,0.16743423135670954
injury_shock_home,away_star_missing,0.1670624521189486,0.1670624521189486
