threshold,bets,wins,win_rate,avg_edge,pnl,roi
0.01,1105,421,0.38099547511312215,0.17728689551266263,-7075.017218622188,-6.402730514590216
0.02,1068,401,0.37546816479400746,0.18285823720009053,-6687.718819625898,-6.261909007140353
0.03,1031,385,0.3734238603297769,0.18853195641491408,-5588.002305592021,-5.419982837625627
0.04,980,365,0.37244897959183676,0.19653458986068809,-4446.25474010563,-4.536994632760847
0.05,943,348,0.36903499469777307,0.2025151340327732,-5088.0521739480755,-5.395601456996898
0.06,907,334,0.36824696802646084,0.2083573697049506,-4082.5881526055846,-4.5011997272387925
0.08,827,292,0.35308343409915355,0.22165325922356494,-4537.810411948029,-5.487074258703783
0.1,750,261,0.348,0.23526867573469956,-3334.0522494847455,-4.445402999312994
