date,return,won
2023-10-24,0.4608294930875576,True
2023-10-25,0.24038461538461542,True
2023-10-25,0.24038461538461542,True
2023-10-25,-1.0,False
2023-10-25,-1.0,False
2023-10-25,0.37037037037037024,True
2023-10-25,0.3205128205128205,True
2023-10-25,-1.0,False
2023-10-25,-1.0,False
2023-10-25,0.5917159763313609,True
2023-10-25,0.5714285714285714,True
2023-10-25,0.8771929824561404,True
2023-10-25,0.704225352112676,True
2023-10-25,-1.0,False
2023-10-25,-1.0,False
2023-10-26,-1.0,False
2023-10-26,-1.0,False
2023-10-26,-1.0,False
2023-10-27,0.3205128205128205,True
2023-10-27,-1.0,False
2023-10-27,1.0,True
2023-10-27,1.29,True
2023-10-27,0.4901960784313726,True
2023-10-28,-1.0,False
2023-10-28,1.0,True
2023-10-28,0.6211180124223601,True
2023-10-28,0.5714285714285714,True
2023-10-28,1.3600000000000003,True
2023-10-29,-1.0,False
2023-10-29,0.5405405405405406,True
2023-10-29,-1.0,False
2023-10-29,0.2100840336134453,True
2023-10-30,0.2100840336134453,True
2023-10-30,-1.0,False
2023-10-30,-1.0,False
2023-10-30,-1.0,False
2023-10-30,-1.0,False
2023-10-31,0.6802721088435373,True
2023-11-01,-1.0,False
2023-11-01,-1.0,False
2023-11-01,-1.0,False
2023-11-01,0.15999999999999992,True
2023-11-01,-1.0,False
2023-11-01,-1.0,False
2023-11-01,-1.0,False
2023-11-02,0.28011204481792706,True
2023-11-03,0.9523809523809523,True
2023-11-03,0.9523809523809523,True
2023-11-03,1.2400000000000002,True
2023-11-03,0.3999999999999999,True
2023-11-03,-1.0,False
2023-11-03,-1.0,False
2023-11-04,-1.0,False
2023-11-04,-1.0,False
2023-11-04,-1.0,False
2023-11-04,1.4,True
2023-11-05,0.43103448275862055,True
2023-11-05,-1.0,False
2023-11-05,-1.0,False
2023-11-10,0.3999999999999999,True
2023-11-10,-1.0,False
2023-11-10,-1.0,False
2023-11-11,1.3600000000000003,True
2023-11-12,-1.0,False
2023-11-12,0.22026431718061668,True
2023-11-12,0.37037037037037024,True
2023-11-13,0.23041474654377891,True
2023-11-14,-1.0,False
2023-11-14,-1.0,False
2023-11-14,0.704225352112676,True
