date,home_team,away_team,home_prob,bet_on,bet_odds,home_won,bet_won,return,month
2024-10-30,CHI,ORL,0.5523022413253784,CHI,450.0,True,True,4.5,2024-10
2024-10-30,IND,BOS,0.5331496000289917,IND,-200.0,True,True,0.5,2024-10
2024-10-30,GSW,NOP,0.8522428870201111,GSW,-162.0,True,True,0.617283950617284,2024-10
2024-10-30,PHI,DET,0.24259662628173828,DET,-230.0,False,True,0.4347826086956521,2024-10
2024-10-30,CHA,TOR,0.5436357259750366,CHA,-260.0,True,True,0.3846153846153846,2024-10
2024-10-30,WAS,ATL,0.23290809988975525,ATL,-600.0,True,False,-1.0,2024-10
2024-10-30,CLE,LAL,0.7822009325027466,CLE,-2800.0,True,True,0.03571428571428581,2024-10
2024-10-30,MEM,BKN,0.8437817096710205,MEM,-1050.0,False,False,-1.0,2024-10
2024-10-31,DAL,HOU,0.22774852812290192,HOU,210.0,False,True,2.1,2024-10
2024-10-31,UTA,SAS,0.297325998544693,SAS,-135.0,False,True,0.7407407407407407,2024-10
2024-10-31,LAC,PHX,0.7131577730178833,LAC,160.0,False,False,-1.0,2024-10
2024-10-31,MEM,MIL,0.5915176272392273,MEM,135.0,True,True,1.35,2024-10
2024-11-01,TOR,LAL,0.3412624001502991,LAL,-6500.0,False,True,0.01538461538461533,2024-11
2024-11-01,MIN,DEN,0.629724383354187,MIN,-180.0,True,True,0.5555555555555556,2024-11
2024-11-01,NOP,IND,0.23366869986057281,IND,-180.0,True,False,-1.0,2024-11
2024-11-01,ATL,SAC,0.5796053409576416,ATL,450.0,False,False,-1.0,2024-11
2024-11-01,BKN,CHI,0.3918618857860565,CHI,400.0,True,False,-1.0,2024-11
2024-11-01,CHA,BOS,0.24404512345790863,BOS,-600.0,False,True,0.16666666666666674,2024-11
2024-11-01,DET,NYK,0.46808403730392456,NYK,-10000.0,False,True,0.010000000000000009,2024-11
2024-11-01,CLE,ORL,0.7415142059326172,CLE,-6500.0,True,True,0.01538461538461533,2024-11
2024-11-01,POR,OKC,0.4364360570907593,OKC,-625.0,False,True,0.15999999999999992,2024-11
2024-11-02,DEN,UTA,0.8681538105010986,DEN,-575.0,True,True,0.17391304347826075,2024-11
2024-11-02,LAC,OKC,0.5565299987792969,LAC,185.0,False,False,-1.0,2024-11
2024-11-02,SAS,MIN,0.3927996754646301,MIN,-200.0,True,False,-1.0,2024-11
2024-11-02,PHX,POR,0.4650643765926361,POR,600.0,True,False,-1.0,2024-11
2024-11-02,HOU,GSW,0.46687987446784973,GSW,-154.0,False,True,0.6493506493506493,2024-11
2024-11-02,TOR,SAC,0.3351881206035614,SAC,-145.0,True,False,-1.0,2024-11
2024-11-02,MIL,CLE,0.5870582461357117,MIL,-375.0,False,False,-1.0,2024-11
2024-11-02,PHI,MEM,0.2896753251552582,MEM,145.0,False,True,1.4500000000000002,2024-11
2024-11-03,NOP,ATL,0.31254512071609497,ATL,-188.0,False,True,0.5319148936170213,2024-11
2024-11-03,DAL,ORL,0.34161826968193054,ORL,215.0,True,False,-1.0,2024-11
2024-11-04,LAC,SAS,0.8151817917823792,LAC,-175.0,True,True,0.5714285714285714,2024-11
2024-11-04,MIN,CHA,0.8767579793930054,MIN,-470.0,True,True,0.2127659574468086,2024-11
2024-11-04,PHX,PHI,0.6331257820129395,PHX,-290.0,True,True,0.3448275862068966,2024-11
2024-11-04,DEN,TOR,0.8642969131469727,DEN,-550.0,True,True,0.18181818181818188,2024-11
2024-11-04,DAL,IND,0.18442371487617493,IND,170.0,False,True,1.7000000000000002,2024-11
2024-11-04,HOU,NYK,0.49327483773231506,NYK,-125.0,True,False,-1.0,2024-11
2024-11-04,BKN,MEM,0.24891285598278046,MEM,-192.0,True,False,-1.0,2024-11
2024-11-04,NOP,POR,0.2499939203262329,POR,120.0,False,True,1.2000000000000002,2024-11
2024-11-04,CHI,UTA,0.7843757271766663,CHI,-310.0,False,False,-1.0,2024-11
2024-11-04,ATL,BOS,0.41719552874565125,BOS,-520.0,False,True,0.1923076923076923,2024-11
2024-11-04,DET,LAL,0.6650190949440002,DET,230.0,True,True,2.3,2024-11
2024-11-04,WAS,GSW,0.19268161058425903,GSW,-810.0,False,True,0.1234567901234569,2024-11
2024-11-04,CLE,MIL,0.6164284944534302,CLE,-445.0,True,True,0.2247191011235956,2024-11
2024-11-04,MIA,SAC,0.6015927195549011,MIA,-115.0,False,False,-1.0,2024-11
2024-11-04,OKC,ORL,0.8597055673599243,OKC,-850.0,True,True,0.11764705882352944,2024-11
2024-11-06,NOP,CLE,0.17317433655261993,CLE,-250.0,False,True,0.3999999999999999,2024-11
2024-11-06,SAC,TOR,0.7702133655548096,SAC,-625.0,True,True,0.15999999999999992,2024-11
2024-11-06,LAC,PHI,0.8609560132026672,LAC,-125.0,True,True,0.8,2024-11
2024-11-06,PHX,MIA,0.3869907855987549,MIA,164.0,True,False,-1.0,2024-11
2024-11-06,DEN,OKC,0.6510494351387024,DEN,225.0,True,True,2.25,2024-11
2024-11-06,DAL,CHI,0.2761494219303131,CHI,380.0,True,False,-1.0,2024-11
2024-11-06,BOS,GSW,0.6589624881744385,BOS,-265.0,False,False,-1.0,2024-11
2024-11-06,ATL,NYK,0.5183584690093994,ATL,230.0,True,True,2.3,2024-11
2024-11-06,IND,ORL,0.7422115206718445,IND,-375.0,True,True,0.2666666666666666,2024-11
2024-11-06,CHA,DET,0.31213971972465515,DET,-154.0,True,False,-1.0,2024-11
2024-11-06,MEM,LAL,0.7706387639045715,MEM,-175.0,True,True,0.5714285714285714,2024-11
2024-11-06,HOU,SAS,0.6581248044967651,HOU,-270.0,True,True,0.37037037037037024,2024-11
2024-11-07,CHI,MIN,0.3413890600204468,MIN,-425.0,False,True,0.23529411764705888,2024-11
2024-11-07,MIL,UTA,0.8790539503097534,MIL,-470.0,True,True,0.2127659574468086,2024-11
2024-11-07,SAS,POR,0.3969838321208954,POR,142.0,True,False,-1.0,2024-11
2024-11-08,OKC,HOU,0.761020302772522,OKC,-345.0,True,True,0.28985507246376807,2024-11
2024-11-08,DEN,MIA,0.7825300097465515,DEN,-155.0,True,True,0.6451612903225805,2024-11
2024-11-08,MIN,POR,0.6701507568359375,MIN,-750.0,True,True,0.1333333333333333,2024-11
2024-11-08,DET,ATL,0.5854507088661194,DET,-375.0,True,True,0.2666666666666666,2024-11
2024-11-08,LAL,PHI,0.7166233658790588,LAL,-305.0,True,True,0.3278688524590163,2024-11
2024-11-08,MEM,WAS,0.8792771100997925,MEM,-310.0,True,True,0.32258064516129026,2024-11
2024-11-08,BOS,BKN,0.8597411513328552,BOS,-900.0,True,True,0.11111111111111116,2024-11
2024-11-08,NYK,MIL,0.5935394167900085,NYK,-250.0,True,True,0.3999999999999999,2024-11
2024-11-08,CHA,IND,0.23199887573719025,IND,-154.0,True,False,-1.0,2024-11
2024-11-08,CLE,GSW,0.6215461492538452,CLE,-162.0,True,True,0.617283950617284,2024-11
2024-11-08,SAC,LAC,0.4497924745082855,LAC,205.0,False,True,2.05,2024-11
2024-11-08,ORL,NOP,0.7410585880279541,ORL,-810.0,True,True,0.1234567901234569,2024-11
2024-11-08,DAL,PHX,0.31123143434524536,PHX,114.0,False,True,1.1399999999999997,2024-11
2024-11-09,SAS,UTA,0.7444495558738708,SAS,195.0,False,False,-1.0,2024-11
2024-11-09,ATL,CHI,0.48552659153938293,CHI,114.0,False,True,1.1399999999999997,2024-11
