date,game,bet_side,edge,win_prob,stake,result,pnl,month
2024-10-22,NYK @ BOS,cover,0.10269361734390259,0.6026936173439026,100,WIN,86.63199999999999,2024-10
2024-10-22,MIN @ LAL,cover,0.10269361734390259,0.6026936173439026,100,WIN,86.63199999999999,2024-10
2024-10-23,CLE @ TOR,not_cover,0.09304702281951904,0.593047022819519,100,WIN,86.63199999999999,2024-10
2024-10-23,ORL @ MIA,cover,0.12391513586044312,0.6239151358604431,100,LOSS,-100.0,2024-10
2024-10-23,MIL @ PHI,cover,0.059649109840393066,0.5596491098403931,100,LOSS,-100.0,2024-10
2024-10-23,BKN @ ATL,cover,0.10814249515533447,0.6081424951553345,100,WIN,86.63199999999999,2024-10
2024-10-23,GSW @ POR,not_cover,0.09304702281951904,0.593047022819519,100,WIN,86.63199999999999,2024-10
2024-10-23,CHI @ NOP,cover,0.08502024412155151,0.5850202441215515,100,WIN,86.63199999999999,2024-10
2024-10-23,MEM @ UTA,cover,0.10269361734390259,0.6026936173439026,100,LOSS,-100.0,2024-10
2024-10-24,BOS @ WAS,not_cover,0.14621412754058838,0.6462141275405884,100,WIN,86.63199999999999,2024-10
2024-10-24,SAS @ DAL,cover,0.059649109840393066,0.5596491098403931,100,WIN,86.63199999999999,2024-10
2024-10-24,OKC @ DEN,cover,0.10814249515533447,0.6081424951553345,100,LOSS,-100.0,2024-10
2024-10-25,IND @ NYK,not_cover,0.14621412754058838,0.6462141275405884,100,LOSS,-100.0,2024-10
2024-10-25,BKN @ ORL,cover,0.3333333134651184,0.8333333134651184,100,WIN,86.63199999999999,2024-10
2024-10-25,PHI @ TOR,cover,0.18578553199768066,0.6857855319976807,100,WIN,86.63199999999999,2024-10
2024-10-25,CHA @ ATL,cover,0.18203884363174438,0.6820388436317444,100,WIN,86.63199999999999,2024-10
2024-10-25,GSW @ UTA,not_cover,0.06521737575531006,0.5652173757553101,100,WIN,86.63199999999999,2024-10
2024-10-25,CHI @ MIL,cover,0.059649109840393066,0.5596491098403931,100,LOSS,-100.0,2024-10
2024-10-25,PHX @ LAL,cover,0.12391513586044312,0.6239151358604431,100,WIN,86.63199999999999,2024-10
2024-10-25,NOP @ POR,cover,0.18578553199768066,0.6857855319976807,100,LOSS,-100.0,2024-10
2024-10-25,MEM @ HOU,not_cover,0.14621412754058838,0.6462141275405884,100,LOSS,-100.0,2024-10
2024-10-26,BOS @ DET,not_cover,0.29069769382476807,0.7906976938247681,100,WIN,86.63199999999999,2024-10
2024-10-26,LAC @ DEN,cover,0.10814249515533447,0.6081424951553345,100,LOSS,-100.0,2024-10
