feature,coefficient,abs_coefficient,std_dev,importance_pct,raw_coefficient
away_back_to_back,0.10924083910100416,0.10924083910100416,0.410988499128553,31.75,0.26580023366258415
altitude_game,0.08715598147265867,0.08715598147265867,0.24400413898326156,25.33,0.3571905863393468
home_back_to_back,-0.07201419729681698,0.07201419729681698,0.3523711738770374,20.93,-0.20437028518668462
away_3in4,0.039864620083083294,0.039864620083083294,0.44854001878980343,11.59,0.08887639544547486
away_rest_days,0.02128530911059069,0.02128530911059069,1.0201336389081013,6.19,0.020865216378290783
rest_advantage,-0.009849462706385865,0.009849462706385865,7.567651931540287,2.86,-0.001301521633855212
home_3in4,-0.0043977862208530154,0.0043977862208530154,0.43002767572382394,1.28,-0.010226751600232818
home_rest_days,0.00021746112819279336,0.00021746112819279336,1.0071580276220815,0.06,0.00021591559837558268
