team,player,position,status,injury,source
Unknown,O. AnunobyOG Anunoby,SF,"Wed, Dec 3",Hamstring,CBS
Unknown,M. RobinsonMitchell Robinson,C,"Wed, Dec 3",Ankle,CBS
Unknown,K. McCullar Jr.Kevin McCullar Jr.,SG,"Tue, Dec 2",Groin,CBS
Unknown,L. ShametLandry Shamet,SG,"Wed, Nov 26",Shoulder,CBS
Unknown,A. CarusoAlex Caruso,PG,"Wed, Dec 3",Quadriceps,CBS
Unknown,L. DortLuguentz Dort,SF,"Wed, Dec 3",Thigh,CBS
Unknown,I. HartensteinIsaiah Hartenstein,C,"Sat, Nov 29",Calf,CBS
Unknown,N. TopicNikola Topic,PG,"Thu, Oct 30",Groin,CBS
Unknown,T. SorberThomas Sorber,PF,"Tue, Oct 28",Knee,CBS
Unknown,P. BancheroPaolo Banchero,PF,"Tue, Dec 2",Groin,CBS
Unknown,M. WagnerMoe Wagner,C,"Tue, Dec 2",Knee,CBS
Unknown,C. CastletonColin Castleton,C,"Sun, Nov 30",Hand,CBS
Unknown,K. Oubre Jr.Kelly Oubre Jr.,SG,"Wed, Dec 3",Knee,CBS
Unknown,P. GeorgePaul George,SF,"Wed, Dec 3",Rest,CBS
Unknown,J. EmbiidJoel Embiid,C,"Tue, Dec 2",Knee,CBS
Unknown,Q. GrimesQuentin Grimes,SG,"Tue, Dec 2",Calf,CBS
Unknown,T. WatfordTrendon Watford,PF,"Wed, Nov 26",Thigh,CBS
Unknown,D. BookerDevin Booker,SG,"Wed, Dec 3",Groin,CBS
Unknown,G. AllenGrayson Allen,SG,"Tue, Dec 2",Illness,CBS
Unknown,I. LiversIsaiah Livers,SF,"Tue, Dec 2",Hip,CBS
Unknown,J. GreenJalen Green,SG,"Tue, Nov 11",Hamstring,CBS
Unknown,R. Williams IIIRobert Williams III,C,"Wed, Dec 3",Knee,CBS
Unknown,K. MurrayKris Murray,PF,"Wed, Dec 3",Hip,CBS
Unknown,J. HolidayJrue Holiday,PG,"Wed, Dec 3",Calf,CBS
Unknown,M. ThybulleMatisse Thybulle,SF,"Mon, Dec 1",Thumb,CBS
Unknown,S. HendersonScoot Henderson,PG,"Fri, Nov 21",Hamstring,CBS
Unknown,B. WesleyBlake Wesley,SG,"Wed, Nov 5",Foot,CBS
Unknown,D. LillardDamian Lillard,PG,"Tue, Oct 28",Achilles,CBS
Unknown,D. SchroderDennis Schroder,PG,"Wed, Dec 3",Hip,CBS
Unknown,D. SabonisDomantas Sabonis,C,"Thu, Nov 20",Knee,CBS
Unknown,S. CastleStephon Castle,PG,"Tue, Dec 2",Hip,CBS
Unknown,J. McLaughlinJordan McLaughlin,PG,"Mon, Dec 1",Hamstring,CBS
Unknown,V. WembanyamaVictor Wembanyama,C,"Mon, Dec 1",Calf,CBS
Unknown,J. PoeltlJakob Poeltl,C,"Wed, Dec 3",Rest,CBS
Unknown,A. LawsonAJ Lawson,SG,"Tue, Dec 2",Undisclosed,CBS
Unknown,R. BarrettRJ Barrett,SF,"Wed, Nov 26",Knee,CBS
Unknown,K. LoveKevin Love,PF,"Wed, Dec 3",Rest,CBS
Unknown,J. NurkicJusuf Nurkic,C,"Wed, Dec 3",Ribs,CBS
Unknown,G. NiangGeorges Niang,PF,"Sat, Nov 22",Foot,CBS
Unknown,W. KesslerWalker Kessler,C,"Wed, Nov 5",Shoulder,CBS
Unknown,S. CooperSharife Cooper,PG,"Wed, Dec 3",Calf,CBS
Unknown,A. SarrAlex Sarr,C,"Wed, Dec 3",Thigh,CBS
Unknown,B. CoulibalyBilal Coulibaly,SF,"Wed, Dec 3",Oblique,CBS
Unknown,C. KispertCorey Kispert,SG,"Thu, Nov 27",Thumb,CBS
Unknown,T. JohnsonTre Johnson,SG,"Mon, Nov 24",Hip,CBS
