,off_matchup_advantage,def_matchup_advantage,net_composite_advantage,effective_shooting_gap,turnover_pressure,rebound_friction,total_rebound_control,whistle_leverage,volume_efficiency_diff,injury_leverage,net_fatigue_score,ewma_chaos_home,ewma_foul_synergy_home,total_foul_environment,league_offensive_context,season_progress,three_point_matchup,star_power_leverage,offense_vs_defense_matchup,ewma_pace_diff,ewma_vol_3p_diff,projected_possession_margin
off_matchup_advantage,1.0,0.5778627673259114,0.9936458351522084,0.23996069648673232,0.15006264362245536,-0.05254291624353623,,-0.05493923389311126,-0.04642163958800647,0.06084350483344171,0.03276029541540087,0.057235295551667044,-0.02053445040697341,-0.0028030502615595844,0.0067164291507221755,-0.009113133608696368,0.011489507914438955,-0.001728787296897645,0.0001108136285921166,-0.001889597168776054,0.0865922925955066,0.019872525621883675
def_matchup_advantage,0.5778627673259114,1.0,0.5577975909335865,0.14575985166096025,0.04931631213288687,-0.03644106378347174,,-0.048115970287878146,-0.04193472474194923,0.09242335533190262,0.042617349977009764,0.009919697757912616,-0.004462133671032467,-0.007385000344473607,0.0033128271993738776,-0.003942922708842284,0.008438577268639428,0.002468516358848077,0.0007971128858956642,0.10993535336524661,0.017228701012452906,-0.011147769787749012
net_composite_advantage,0.9936458351522084,0.5577975909335865,1.0,0.24513649553842246,0.15195333705527486,-0.0483167231272027,,-0.057512970438313396,-0.048210608787704536,0.054765438819972215,0.02797410677430381,0.05394475770338498,-0.017625479136388775,-0.0023649768792223815,0.0070773979853206975,-0.008255864750780969,0.010838895945900776,-0.0030949391808799713,-0.0007921777686834329,0.0297070015586627,0.08470679718147943,0.024630009359900767
effective_shooting_gap,0.23996069648673232,0.14575985166096025,0.24513649553842246,1.0,0.018523372854289313,-0.400127126347552,,-0.29559407210695954,-0.013740319644148184,0.02831740116752045,0.034138151302374325,0.03016617550867344,-0.010025014599274087,0.007084458849931644,3.74962138108187e-05,0.0027391221581232607,0.00463523239582799,0.011180853635447834,-0.004389593236659678,0.0104509442084852,0.1829647117803166,-0.3604989639399677
turnover_pressure,0.15006264362245536,0.04931631213288687,0.15195333705527486,0.018523372854289313,1.0,-0.0683978885594512,,0.03825667254432752,-0.02497758309095058,0.004414736094605704,-0.014363910521861912,0.02790730216611985,-0.09167665767448104,-0.0102960956170364,0.011134003792443503,-0.009538771331594613,-0.003163151333084319,0.0033325207471693696,0.005112366428201967,-0.08628987559022612,0.03839472115899951,0.3922048030821944
rebound_friction,-0.05254291624353623,-0.03644106378347174,-0.0483167231272027,-0.400127126347552,-0.0683978885594512,1.0,,0.12742470781471432,0.013386629705774165,-0.0602719285116391,-0.0020395475155879014,-0.03402875272375487,-0.021003597298534835,-0.0003380049125137128,0.012068080695255928,0.0029188854601445336,-0.0007077118507015697,-0.0036484864201032307,-0.0008753821045431173,0.03691187248953374,0.010052609327051138,0.8908977004973965
total_rebound_control,,,,,,,,,,,,,,,,,,,,,,
whistle_leverage,-0.05493923389311126,-0.048115970287878146,-0.057512970438313396,-0.29559407210695954,0.03825667254432752,0.12742470781471432,,1.0,-0.003905064338865288,0.0019552438508748512,0.008534129111119202,-0.03677082559375681,0.11817323186928527,0.6006293524549523,-0.0447057440599692,-0.047114836096797265,0.013910324871476091,-0.004506632301227538,-0.015518161175760986,-0.005548570668083504,0.0400672231426039,0.13490744653042464
volume_efficiency_diff,-0.04642163958800647,-0.04193472474194923,-0.048210608787704536,-0.013740319644148184,-0.02497758309095058,0.013386629705774165,,-0.003905064338865288,1.0,0.009507007061676067,0.01647241257136647,0.0049924751423337,0.0021721911344511945,0.0022244886142058647,0.0365519024208888,0.043173243637540694,-0.018218424886073482,0.00860988584895829,0.017255967219150892,0.07625853220344006,-0.011595280867456653,0.0009714215494742072
injury_leverage,0.06084350483344171,0.09242335533190262,0.054765438819972215,0.02831740116752045,0.004414736094605704,-0.0602719285116391,,0.0019552438508748512,0.009507007061676067,1.0,0.011474240752048045,0.010689229356907698,0.00895816648069413,0.007902554163307485,-0.01010774658972118,0.005514888434220658,-0.00018863980622417541,0.009227486461220985,0.001849034148235671,0.019242516918244655,0.021696556446340276,-0.05356306367786816
